25,67,434683450
25,9,393058820
26,77,518646735
26,16,470584620
26,1,458914560
27,25,564865635
28,22,676949194
29,73,869206729
29,56,847118322
29,20,798670082
30,32,951557787
30,13,923816498
30,12,922204957
30,1,906320690
31,76,1169428592
32,42,1277818431
32,8,1220978042
32,1,1207870410
33,8,1390768940
33,8,1390162486
34,24,1608037167
34,10,1580245074
34,6,1572164665
36,11,1999225319
36,7,1989453612
36,1,1975530429
38,51,2591347146
38,36,2550852025
38,24,2517236147
39,51,2869381096
39,24,2792828121
39,2,2729694860
40,23,3084268518
40,19,3072237542
40,16,3062038720
40,14,3056518900
40,13,3054087273
40,13,3052125362
40,11,3047049307
40,8,3038490601
40,4,3025439743
40,0,3010842193
44,93,4790700657
44,73,4709602412
45,45,5003198972
45,6,4846951073
